experiment_id,start_date,quarter,channel,service,experiment_name,status,sample_size,control_conversion_pct,variant_conversion_pct,lift_pct,operational_note,linked_jira,decision_note
EXP-00001,2018-06-01,2018-Q2,web,analytics-pipeline,inventory warning,won,163006,90.1,94.55,4.45,support tickets increased,ATLAS-1928,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00002,2018-06-02,2018-Q2,mobile-web,inventory-reservation,tax quote cache,inconclusive,194903,86.87,86.77,-0.1,latency increased,ATLAS-1114,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00003,2018-06-03,2018-Q2,mobile-web,auth-gateway,payment retry UX,rolled back,134037,86.42,86.53,0.11,no clear impact,ATLAS-1756,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00004,2018-06-04,2018-Q2,web,tax-service,inventory warning,running,191277,85.13,85.04,-0.09,conversion improved,ATLAS-4527,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00005,2018-06-05,2018-Q2,android,notification-service,loyalty prompt,running,122914,81.51,79.17,-2.35,support tickets increased,ATLAS-5871,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00006,2018-06-06,2018-Q2,web,pricing-engine,loyalty prompt,running,182329,76.12,78.47,2.35,latency increased,ATLAS-1650,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00007,2018-06-07,2018-Q2,ios,cart-service,address validation,lost,4612,84.94,87.08,2.15,latency neutral,ATLAS-1985,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00008,2018-06-08,2018-Q2,mobile-web,analytics-pipeline,coupon fallback,draft,101662,72.83,72.75,-0.08,support tickets increased,ATLAS-3971,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00009,2018-06-09,2018-Q2,web,notification-service,address validation,rolled back,143201,74.98,76.89,1.91,no clear impact,ATLAS-1888,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00010,2018-06-11,2018-Q2,store-kiosk,payment-orchestrator,loyalty prompt,won,168346,76.46,76.65,0.19,no clear impact,ATLAS-5734,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00011,2018-06-12,2018-Q2,web,search-recommendations,loyalty prompt,inconclusive,232294,84.76,82.27,-2.49,latency increased,ATLAS-2941,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00012,2018-06-13,2018-Q2,mobile-web,payment-orchestrator,address validation,draft,77732,83.81,81.12,-2.69,conversion improved,ATLAS-3754,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00013,2018-06-14,2018-Q2,partner-api,inventory-reservation,coupon fallback,running,123536,82.04,84.34,2.3,latency increased,ATLAS-4281,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00014,2018-06-15,2018-Q2,mobile-web,loyalty-service,tax quote cache,draft,208770,81.21,84.42,3.21,no clear impact,ATLAS-1273,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00015,2018-06-16,2018-Q2,ios,search-recommendations,address validation,lost,78376,86.92,89.4,2.48,support tickets increased,ATLAS-1322,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00016,2018-06-17,2018-Q2,mobile-web,pricing-engine,address validation,inconclusive,57697,82.67,81.06,-1.6,latency increased,ATLAS-3993,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00017,2018-06-18,2018-Q2,web,analytics-pipeline,coupon fallback,draft,198642,79.46,77.27,-2.2,latency increased,ATLAS-1155,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00018,2018-06-19,2018-Q2,ios,order-ledger,inventory warning,inconclusive,183509,87.65,90.41,2.76,conversion improved,ATLAS-6150,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00019,2018-06-21,2018-Q2,web,payment-orchestrator,one-click reorder,lost,95145,84.5,82.0,-2.5,latency increased,ATLAS-5555,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00020,2018-06-22,2018-Q2,partner-api,order-ledger,payment retry UX,lost,184589,87.87,88.66,0.79,support tickets increased,ATLAS-2110,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00021,2018-06-23,2018-Q2,mobile-web,analytics-pipeline,payment retry UX,rolled back,31171,76.66,77.03,0.37,support tickets increased,ATLAS-1119,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
EXP-00022,2018-06-24,2018-Q2,mobile-web,auth-gateway,coupon fallback,lost,41195,90.19,87.0,-3.19,no clear impact,ATLAS-5644,"Decision note: compare product analytics with Grafana p95, support escalation volume, and release flag history."
