date,service,environment,request_count,active_users,checkout_conversion_pct,p95_latency_ms,p99_latency_ms,error_rate_pct,uptime_pct,cpu_pct,memory_pct,saturation_pct,deploy_count,incident_count,slo_burn_rate,notes
2018-06-01,checkout-api,prod,337136,13146,79.24,402,772,0.13,99.174,52.39,64.14,28.98,4,0,1.22,watch latency
2018-06-01,cart-service,prod,338482,11319,79.41,471,1005,0.179,99.164,64.51,70.81,63.29,3,0,1.49,cache warmup
2018-06-01,payment-orchestrator,prod,362512,13695,80.9,423,948,0.201,99.16,44.76,54.72,63.45,0,0,1.44,campaign traffic
2018-06-01,order-ledger,prod,164512,7475,80.64,424,806,0.376,98.675,48.15,49.08,37.74,5,1,1.88,cache warmup
2018-06-01,inventory-reservation,prod,186524,7991,80.45,406,882,0.185,99.163,65.84,55.04,51.99,4,0,1.36,cache warmup
2018-06-01,pricing-engine,prod,194321,7647,81.68,422,900,0.231,99.154,66.88,67.45,30.92,2,0,1.52,database pressure
2018-06-01,tax-service,prod,187124,8003,80.12,395,897,0.687,99.063,41.26,50.18,49.9,7,0,2.6,incident review
2018-06-01,loyalty-service,prod,178095,6163,79.39,464,1016,0.195,99.161,66.84,55.01,30.1,6,0,1.52,incident review
2018-06-01,notification-service,prod,200515,6454,80.25,406,751,0.448,99.11,64.15,49.18,31.25,0,0,2.02,campaign traffic
2018-06-01,auth-gateway,prod,174374,5253,78.99,409,900,0.202,99.16,58.86,51.05,43.18,0,0,1.41,normal baseline
2018-06-01,analytics-pipeline,prod,165942,6973,78.97,584,1077,0.056,99.189,54.82,71.26,34.45,7,0,1.44,incident review
2018-06-01,search-recommendations,prod,196822,7523,79.04,480,964,0.475,99.105,46.68,59.63,64.52,7,0,2.25,normal baseline
2018-06-08,checkout-api,prod,325162,12582,79.0,462,1002,0.456,99.109,68.86,69.82,27.15,7,0,2.17,watch latency
2018-06-08,cart-service,prod,296245,9638,78.7,463,994,0.02,99.196,67.86,53.08,53.54,5,0,1.08,database pressure
2018-06-08,payment-orchestrator,prod,299588,9323,81.49,432,924,0.02,99.196,67.41,54.27,43.69,6,0,1.01,release week
2018-06-08,order-ledger,prod,189334,7993,81.88,414,905,0.184,99.163,41.86,50.0,31.83,3,0,1.38,database pressure
2018-06-08,inventory-reservation,prod,201274,7742,79.61,412,789,0.099,99.18,49.55,70.14,30.17,5,0,1.16,release week
2018-06-08,pricing-engine,prod,201358,8395,80.13,479,1025,0.407,99.119,64.63,56.31,56.48,7,0,2.08,campaign traffic
2018-06-08,tax-service,prod,167357,7651,79.96,473,1015,0.47,99.106,64.25,47.52,43.54,1,0,2.23,cache warmup
2018-06-08,loyalty-service,prod,189011,7021,79.14,435,893,0.362,99.128,49.25,53.45,64.43,2,0,1.87,campaign traffic
2018-06-08,notification-service,prod,201756,6604,79.65,413,908,0.028,99.194,50.82,61.74,46.94,5,0,0.99,cache warmup
2018-06-08,auth-gateway,prod,185601,8397,80.03,471,869,0.543,99.091,51.49,57.03,50.25,1,0,2.4,watch latency
2018-06-08,analytics-pipeline,prod,177594,5934,80.36,540,1076,0.611,99.078,59.83,62.66,37.29,1,0,2.73,campaign traffic
2018-06-08,search-recommendations,prod,164217,5918,79.44,542,1170,0.342,99.132,55.8,71.93,30.28,1,0,2.06,incident review
2018-06-15,checkout-api,prod,300927,10121,79.73,467,911,0.425,99.115,50.57,57.16,51.19,6,0,2.1,cache warmup
2018-06-15,cart-service,prod,307965,11883,80.26,419,788,0.165,99.167,48.65,61.27,56.95,3,0,1.34,database pressure
2018-06-15,payment-orchestrator,prod,306181,12650,81.66,456,990,0.371,99.126,62.91,47.29,49.83,4,0,1.94,watch latency
2018-06-15,order-ledger,prod,173712,7874,80.34,461,891,0.126,99.175,54.69,53.02,52.45,3,0,1.34,database pressure
2018-06-15,inventory-reservation,prod,200530,6373,80.63,403,901,0.174,99.165,68.03,54.65,54.03,0,0,1.33,watch latency
2018-06-15,pricing-engine,prod,164750,6851,80.53,415,879,0.452,99.11,57.41,64.83,39.04,0,0,2.05,release week
2018-06-15,tax-service,prod,185915,6185,79.76,446,1002,0.387,99.123,53.22,50.85,40.37,3,0,1.96,incident review
2018-06-15,loyalty-service,prod,178355,5536,81.32,442,837,0.386,98.673,57.43,68.21,41.71,5,1,1.95,watch latency
2018-06-15,notification-service,prod,185797,6829,79.9,432,939,0.428,99.114,65.06,57.84,47.83,6,0,2.03,database pressure
2018-06-15,auth-gateway,prod,182575,6277,80.95,385,810,0.353,99.129,55.94,63.48,40.7,4,0,1.74,database pressure
2018-06-15,analytics-pipeline,prod,179854,6686,78.96,545,1086,0.183,99.163,39.83,46.71,51.33,4,0,1.67,database pressure
2018-06-15,search-recommendations,prod,167968,6157,81.6,581,1116,0.237,99.153,54.17,66.61,57.78,4,0,1.88,database pressure
2018-06-22,checkout-api,prod,294537,11150,80.07,457,937,0.305,99.139,64.21,61.79,64.36,5,0,1.78,database pressure
2018-06-22,cart-service,prod,319008,12346,81.58,405,903,0.332,99.134,38.83,51.34,43.04,1,0,1.73,release week
2018-06-22,payment-orchestrator,prod,358833,12909,81.55,399,899,0.189,99.162,57.71,59.82,63.46,3,0,1.36,incident review
2018-06-22,order-ledger,prod,187416,5952,80.88,438,901,0.258,99.148,45.79,59.13,63.17,4,0,1.62,normal baseline
2018-06-22,inventory-reservation,prod,185899,5423,81.14,425,839,0.278,99.144,63.97,47.31,41.51,7,0,1.64,watch latency
2018-06-22,pricing-engine,prod,172927,6226,78.75,404,812,0.358,99.128,51.35,67.34,59.66,6,0,1.79,database pressure
2018-06-22,tax-service,prod,183291,7777,79.14,448,946,0.062,99.188,48.58,46.37,27.71,6,0,1.15,database pressure
2018-06-22,loyalty-service,prod,163184,5956,79.64,449,889,0.33,99.134,46.54,58.17,64.83,2,0,1.82,incident review
2018-06-22,notification-service,prod,192969,8323,80.42,406,902,0.399,99.12,63.04,52.31,56.37,6,0,1.9,campaign traffic
2018-06-22,auth-gateway,prod,162785,6805,79.1,479,907,0.47,99.106,55.31,52.99,59.3,4,0,2.24,campaign traffic
2018-06-22,analytics-pipeline,prod,176165,6401,79.39,444,872,0.178,99.164,45.11,70.19,55.33,1,0,1.43,incident review
2018-06-22,search-recommendations,prod,183521,5756,81.37,437,917,0.093,99.181,42.72,68.17,36.88,4,0,1.2,database pressure
2018-06-29,checkout-api,prod,344086,11139,78.7,441,931,0.296,99.141,48.61,59.88,27.53,0,0,1.72,campaign traffic
2018-06-29,cart-service,prod,334148,11423,79.78,390,742,0.282,99.144,62.66,49.66,36.73,2,0,1.57,release week
2018-06-29,payment-orchestrator,prod,297160,9566,79.19,478,960,0.455,99.109,41.04,64.7,29.29,6,0,2.2,campaign traffic
2018-06-29,order-ledger,prod,187649,8123,81.56,409,789,0.324,99.135,58.08,62.56,56.29,0,0,1.72,cache warmup
2018-06-29,inventory-reservation,prod,181991,6049,80.57,416,937,0.41,99.118,50.43,59.03,61.32,7,0,1.95,release week
2018-06-29,pricing-engine,prod,200198,7774,79.11,434,820,0.149,98.72,49.09,67.87,37.59,5,1,1.34,release week
2018-06-29,tax-service,prod,199770,7428,81.71,432,896,0.373,99.125,44.08,68.6,61.51,6,0,1.89,cache warmup
2018-06-29,loyalty-service,prod,176476,6980,80.28,449,879,0.497,99.101,66.21,53.81,46.15,5,0,2.24,watch latency
2018-06-29,notification-service,prod,166487,6973,79.88,477,960,0.446,99.111,62.81,47.41,34.08,7,0,2.18,normal baseline
2018-06-29,auth-gateway,prod,172739,6942,79.93,422,836,0.026,99.195,43.21,64.38,52.69,5,0,1.0,database pressure
2018-06-29,analytics-pipeline,prod,172343,6593,78.53,529,1129,0.336,99.133,61.1,52.51,42.37,5,0,2.02,watch latency
2018-06-29,search-recommendations,prod,162654,6000,81.49,523,1040,0.286,99.143,44.22,64.55,55.22,4,0,1.88,release week
2018-07-06,checkout-api,prod,327711,12758,81.79,457,850,0.497,99.101,49.29,59.31,64.45,6,0,2.26,database pressure
2018-07-06,cart-service,prod,343580,12341,81.1,418,951,0.542,99.092,38.34,56.94,31.0,0,0,2.28,watch latency
2018-07-06,payment-orchestrator,prod,351142,14170,81.69,480,948,0.133,99.173,39.73,57.66,32.63,1,0,1.4,release week
2018-07-06,order-ledger,prod,200463,6216,81.24,442,948,0.281,99.144,44.23,47.51,52.1,2,0,1.68,release week
2018-07-06,inventory-reservation,prod,182551,6842,81.55,461,948,0.04,99.192,62.89,55.32,54.82,1,0,1.13,release week
2018-07-06,pricing-engine,prod,187540,6444,80.4,423,853,0.294,99.141,36.32,58.63,48.29,4,0,1.67,incident review
2018-07-06,tax-service,prod,197499,8013,81.67,396,792,0.167,99.167,43.03,57.76,48.3,4,0,1.3,watch latency
2018-07-06,loyalty-service,prod,189073,6500,80.59,477,1005,0.468,98.656,37.93,63.03,47.58,2,1,2.23,normal baseline
2018-07-06,notification-service,prod,180299,6110,81.76,431,950,0.02,99.196,46.26,56.92,63.61,6,0,1.01,watch latency
2018-07-06,auth-gateway,prod,183742,6259,80.31,449,984,0.499,99.1,47.2,63.84,55.95,1,0,2.24,watch latency
2018-07-06,analytics-pipeline,prod,193931,6948,80.25,487,1005,0.151,99.17,49.15,55.62,62.81,7,0,1.46,cache warmup
2018-07-06,search-recommendations,prod,179775,5633,79.31,539,1029,0.02,99.196,43.26,45.9,38.8,2,0,1.25,campaign traffic
2018-07-13,checkout-api,prod,306032,10745,79.46,396,799,0.233,99.153,60.38,63.39,47.95,2,0,1.46,database pressure
2018-07-13,cart-service,prod,293131,11610,81.25,476,907,0.02,99.196,39.74,50.83,41.23,6,0,1.11,normal baseline
2018-07-13,payment-orchestrator,prod,345007,12182,78.81,415,944,0.481,99.104,52.11,48.09,38.52,2,0,2.12,cache warmup
2018-07-13,order-ledger,prod,162613,5273,78.66,473,932,0.206,99.159,40.45,65.7,28.65,2,0,1.57,incident review
2018-07-13,inventory-reservation,prod,190000,8419,80.6,452,862,0.396,99.121,57.4,67.69,33.48,2,0,2.0,incident review
2018-07-13,pricing-engine,prod,182916,6446,78.78,448,934,0.143,99.171,59.3,53.54,43.91,6,0,1.35,campaign traffic
2018-07-13,tax-service,prod,180964,7904,81.31,446,928,0.267,99.147,34.78,68.09,49.02,3,0,1.66,normal baseline
2018-07-13,loyalty-service,prod,172415,6431,80.58,385,858,0.194,99.161,48.54,62.45,57.12,6,0,1.34,database pressure
2018-07-13,notification-service,prod,163079,6968,80.15,429,861,0.206,99.159,47.04,52.18,43.44,2,0,1.47,watch latency
2018-07-13,auth-gateway,prod,193666,6800,80.7,398,740,0.339,99.132,52.15,58.2,51.77,1,0,1.73,watch latency
2018-07-13,analytics-pipeline,prod,196561,7551,79.29,466,1017,0.175,99.165,37.18,50.38,59.25,0,0,1.47,incident review
2018-07-13,search-recommendations,prod,183592,8007,81.69,461,1019,0.217,99.157,63.99,57.61,56.38,1,0,1.57,campaign traffic
2018-07-20,checkout-api,prod,296816,11830,80.73,424,858,0.02,99.196,40.84,50.25,49.64,0,0,0.99,release week
2018-07-20,cart-service,prod,296339,12266,81.33,396,850,0.149,99.17,56.14,46.59,27.83,5,0,1.25,normal baseline
2018-07-20,payment-orchestrator,prod,299437,11788,78.73,444,967,0.558,98.638,48.06,58.14,59.59,6,1,2.38,campaign traffic
2018-07-20,order-ledger,prod,162001,5873,80.25,425,822,0.102,99.18,38.47,45.83,59.5,3,0,1.2,cache warmup
2018-07-20,inventory-reservation,prod,185828,7229,81.28,392,741,0.432,99.114,47.7,55.59,53.66,6,0,1.95,incident review
2018-07-20,pricing-engine,prod,176546,7622,79.7,478,930,0.214,99.157,37.04,66.03,38.66,0,0,1.6,normal baseline
