issue_key,issue_type,epic,summary,status,priority,assignee,reporter,created,updated,sprint,due_date,story_points,labels,linked_prs,linked_incidents,risk_or_blocker_notes
ATLAS-100,Epic,ATLAS-100,Project Atlas checkout modernization kickoff,Done,High,Maya Chen,Ravi Patel,2025-05-01,2025-05-09,Sprint 01,2025-05-10,13,"jira,project,checkout,kt",PR-101,,Decision approved to migrate checkout gradually behind feature flags.
ATLAS-101,Story,ATLAS-100,Create checkout service skeleton in atlas-api,Done,High,Jon Bell,Maya Chen,2025-05-02,2025-05-16,Sprint 01,2025-05-16,8,"jira,backend,service",PR-102,,Owner Jon Bell completed service bootstrap and health endpoint.
ATLAS-102,Story,ATLAS-100,Add legacy monolith adapter for cart and order read path,Done,High,Aisha Khan,Jon Bell,2025-05-06,2025-05-22,Sprint 02,2025-05-24,8,"jira,adapter,legacy",PR-104,,Risk noted: legacy API schema can drift without contract tests.
ATLAS-103,Task,ATLAS-100,Define payment facade contract with idempotency keys,Done,Critical,Luca Moretti,Maya Chen,2025-05-08,2025-05-28,Sprint 02,2025-05-30,5,"jira,payments,decision",PR-106,,Decision: every payment mutation must use checkout_id plus attempt_number as idempotency key.
ATLAS-104,Bug,ATLAS-100,Fix missing cart totals when coupon service times out,Done,High,Aisha Khan,Ravi Patel,2025-05-19,2025-06-03,Sprint 03,2025-06-06,5,"jira,bug,coupon",PR-109,PD-1001,Incident PD-1001 found fallback issue. Customer impact was limited but support tickets increased.
ATLAS-105,Story,ATLAS-100,Publish initial Grafana checkout dashboard,Done,Medium,Nora Singh,Luca Moretti,2025-05-22,2025-06-11,Sprint 03,2025-06-13,3,"jira,grafana,observability",PR-111,,"Dashboard tracks traffic, p95 latency, p99 latency, error rate, uptime, CPU, and memory."
ATLAS-106,Story,ATLAS-100,Create database migration plan for checkout_order table,Done,High,Samir Rao,Nora Singh,2025-06-02,2025-06-27,Sprint 04,2025-06-27,8,"jira,database,migration",PR-114,,Risk: storage growth and index bloat need weekly database health checks.
ATLAS-107,Task,ATLAS-100,Document onboarding flow in Confluence,Done,Medium,Maya Chen,Samir Rao,2025-06-04,2025-06-19,Sprint 04,2025-06-20,3,"jira,confluence,kt",,,"Decision records added for feature flags, rollback, and ownership."
ATLAS-108,Bug,ATLAS-100,Checkout service returns 409 on duplicate retry without clear message,Done,Medium,Luca Moretti,Aisha Khan,2025-06-16,2025-07-02,Sprint 05,2025-07-04,3,"jira,bug,payments",PR-118,,Resolved by returning retry-safe response body and audit trail entry.
ATLAS-109,Story,ATLAS-100,Add GitHub branch protection for atlas-api and atlas-web,Done,Medium,Jon Bell,Nora Singh,2025-06-20,2025-07-08,Sprint 05,2025-07-11,3,"jira,github,security",PR-120,,Decision: require two approvals and passing integration tests for release branches.
