support_id,created_at,customer,customer_tier,category,severity,service,status,owner,linked_jira,linked_incident,sentiment,summary,next_action
SUP-700001,2018-06-01,FreshNest Grocery,internal,mobile session timeout,medium,checkout-api,monitoring,Victor Silva,ATLAS-4381,,positive,"Customer reported mobile session timeout around checkout-api. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700002,2018-06-03,Harbor Books,mid-market,order confirmation delay,medium,checkout-api,pending engineering,Jon Bell,ATLAS-5171,,neutral,"Customer reported order confirmation delay around checkout-api. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700003,2018-06-05,Northstar Retail,enterprise,payment retry,medium,order-ledger,solved,Theo Martin,ATLAS-4269,,anxious,"Customer reported payment retry around order-ledger. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700004,2018-06-05,Luna Home,enterprise,performance complaint,high,loyalty-service,monitoring,Anika Sharma,ATLAS-2011,PD-2449,anxious,"Customer reported performance complaint around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700005,2018-06-05,FreshNest Grocery,enterprise,checkout failure,high,cart-service,solved,Harper Lee,ATLAS-1877,,blocked,"Customer reported checkout failure around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700006,2018-06-09,Cedar Pharmacy,internal,loyalty points missing,medium,auth-gateway,pending engineering,Iris Wang,ATLAS-2525,,neutral,"Customer reported loyalty points missing around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700007,2018-06-08,Northstar Retail,self-serve,coupon issue,medium,pricing-engine,escalated,Sara Novak,ATLAS-5778,,anxious,"Customer reported coupon issue around pricing-engine. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700008,2018-06-09,Harbor Books,self-serve,performance complaint,medium,search-recommendations,escalated,Victor Silva,ATLAS-4629,,neutral,"Customer reported performance complaint around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700009,2018-06-11,Atlas Demo Customer,enterprise,performance complaint,medium,search-recommendations,monitoring,Ben Carter,ATLAS-3986,PD-2101,negative,"Customer reported performance complaint around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700010,2018-06-11,Luna Home,self-serve,mobile session timeout,medium,pricing-engine,monitoring,Ben Carter,ATLAS-2998,PD-2310,negative,"Customer reported mobile session timeout around pricing-engine. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700011,2018-06-15,UrbanMarket,internal,mobile session timeout,low,auth-gateway,escalated,Jon Bell,ATLAS-2316,PD-2153,positive,"Customer reported mobile session timeout around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700012,2018-06-15,BluePeak Apparel,mid-market,coupon issue,high,loyalty-service,open,Sara Novak,ATLAS-4224,PD-2228,positive,"Customer reported coupon issue around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700013,2018-06-17,OmniStyle,mid-market,coupon issue,medium,order-ledger,pending engineering,Iris Wang,ATLAS-1327,PD-2184,blocked,"Customer reported coupon issue around order-ledger. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700014,2018-06-17,Harbor Books,internal,loyalty points missing,medium,auth-gateway,pending engineering,Yara Haddad,ATLAS-1750,,neutral,"Customer reported loyalty points missing around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700015,2018-06-16,OmniStyle,internal,mobile session timeout,low,loyalty-service,monitoring,Victor Silva,ATLAS-4749,,positive,"Customer reported mobile session timeout around loyalty-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700016,2018-06-20,BluePeak Apparel,internal,mobile session timeout,medium,auth-gateway,solved,Maya Chen,ATLAS-1341,,positive,"Customer reported mobile session timeout around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700017,2018-06-20,BrightCart EU,mid-market,order confirmation delay,medium,tax-service,solved,Priya Nair,ATLAS-5266,,anxious,"Customer reported order confirmation delay around tax-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700018,2018-06-21,Summit Sports,mid-market,tax mismatch,medium,payment-orchestrator,monitoring,Ben Carter,ATLAS-3028,,negative,"Customer reported tax mismatch around payment-orchestrator. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700019,2018-06-21,Vertex Outlet,mid-market,payment retry,high,analytics-pipeline,open,Luca Moretti,ATLAS-4240,,neutral,"Customer reported payment retry around analytics-pipeline. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700020,2018-06-23,BrightCart EU,self-serve,checkout failure,medium,search-recommendations,monitoring,Harper Lee,ATLAS-1803,,blocked,"Customer reported checkout failure around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700021,2018-06-23,Harbor Books,mid-market,performance complaint,urgent,search-recommendations,solved,Samir Rao,ATLAS-4105,,positive,"Customer reported performance complaint around search-recommendations. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700022,2018-06-27,Atlas Demo Customer,enterprise,tax mismatch,low,auth-gateway,escalated,Noah Evans,ATLAS-4135,,negative,"Customer reported tax mismatch around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700023,2018-06-28,OmniStyle,internal,checkout failure,high,notification-service,solved,Maya Chen,ATLAS-2230,,negative,"Customer reported checkout failure around notification-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700024,2018-06-28,FreshNest Grocery,enterprise,order confirmation delay,high,inventory-reservation,open,Ravi Patel,ATLAS-1206,,neutral,"Customer reported order confirmation delay around inventory-reservation. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700025,2018-06-28,UrbanMarket,enterprise,loyalty points missing,medium,inventory-reservation,solved,Elena Petrova,ATLAS-1932,,anxious,"Customer reported loyalty points missing around inventory-reservation. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700026,2018-06-28,Luna Home,internal,tax mismatch,high,tax-service,monitoring,Elena Petrova,ATLAS-1994,PD-2542,neutral,"Customer reported tax mismatch around tax-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700027,2018-07-03,Harbor Books,self-serve,loyalty points missing,low,inventory-reservation,pending engineering,Victor Silva,ATLAS-1379,,negative,"Customer reported loyalty points missing around inventory-reservation. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700028,2018-07-04,BluePeak Apparel,internal,checkout failure,medium,cart-service,solved,Elena Petrova,ATLAS-2714,,negative,"Customer reported checkout failure around cart-service. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
SUP-700029,2018-07-04,UrbanMarket,internal,coupon issue,urgent,auth-gateway,open,Kim Tan,ATLAS-1475,,neutral,"Customer reported coupon issue around auth-gateway. Support macro references Jira, PagerDuty, runbook, and current workaround.","Next action: verify source data, check Grafana trend, confirm owner, and update customer by next business day."
