quarter,start_date,target_date,phase,workstream,owner,status,planned_points,completed_points,open_blockers,roadmap_notes,anchor_issue
2018-Q2,2018-06-01,2018-06-28,Phase 0 Legacy Stabilization,platform,Elena Petrova,green,67,16,7,"stabilize legacy checkout, map risks, build team rituals; focus on platform; risk: customer readiness.",ATLAS-4815
2018-Q2,2018-06-01,2018-06-28,Phase 0 Legacy Stabilization,checkout,Mateo Garcia,red,33,3,5,"stabilize legacy checkout, map risks, build team rituals; focus on checkout; risk: dependency drift.",ATLAS-2986
2018-Q2,2018-06-01,2018-06-28,Phase 0 Legacy Stabilization,payments,Elena Petrova,green,41,19,7,"stabilize legacy checkout, map risks, build team rituals; focus on payments; risk: on-call load.",ATLAS-2377
2018-Q2,2018-06-01,2018-06-28,Phase 0 Legacy Stabilization,observability,Elena Petrova,amber,72,19,6,"stabilize legacy checkout, map risks, build team rituals; focus on observability; risk: on-call load.",ATLAS-2179
2018-Q2,2018-06-01,2018-06-28,Phase 0 Legacy Stabilization,data,Victor Silva,red,89,22,0,"stabilize legacy checkout, map risks, build team rituals; focus on data; risk: test data gap.",ATLAS-3199
2018-Q2,2018-06-01,2018-06-28,Phase 0 Legacy Stabilization,support,Yara Haddad,green,64,4,6,"stabilize legacy checkout, map risks, build team rituals; focus on support; risk: vendor approval.",ATLAS-2401
2018-Q3,2018-07-01,2018-07-28,Phase 0 Legacy Stabilization,platform,Kim Tan,red,42,11,7,"stabilize legacy checkout, map risks, build team rituals; focus on platform; risk: vendor approval.",ATLAS-4135
2018-Q3,2018-07-01,2018-07-28,Phase 0 Legacy Stabilization,checkout,Kim Tan,green,82,22,6,"stabilize legacy checkout, map risks, build team rituals; focus on checkout; risk: vendor approval.",ATLAS-3032
2018-Q3,2018-07-01,2018-07-28,Phase 0 Legacy Stabilization,payments,Mateo Garcia,amber,81,23,5,"stabilize legacy checkout, map risks, build team rituals; focus on payments; risk: test data gap.",ATLAS-1489
2018-Q3,2018-07-01,2018-07-28,Phase 0 Legacy Stabilization,observability,Jon Bell,green,94,12,0,"stabilize legacy checkout, map risks, build team rituals; focus on observability; risk: test data gap.",ATLAS-4753
2018-Q3,2018-07-01,2018-07-28,Phase 0 Legacy Stabilization,data,Mateo Garcia,amber,55,15,1,"stabilize legacy checkout, map risks, build team rituals; focus on data; risk: customer readiness.",ATLAS-5282
2018-Q3,2018-07-01,2018-07-28,Phase 0 Legacy Stabilization,support,Yara Haddad,green,92,6,5,"stabilize legacy checkout, map risks, build team rituals; focus on support; risk: on-call load.",ATLAS-1304
2018-Q3,2018-08-01,2018-08-28,Phase 0 Legacy Stabilization,platform,Sara Novak,green,41,5,5,"stabilize legacy checkout, map risks, build team rituals; focus on platform; risk: on-call load.",ATLAS-5702
2018-Q3,2018-08-01,2018-08-28,Phase 0 Legacy Stabilization,checkout,Anika Sharma,amber,21,24,4,"stabilize legacy checkout, map risks, build team rituals; focus on checkout; risk: test data gap.",ATLAS-2581
2018-Q3,2018-08-01,2018-08-28,Phase 0 Legacy Stabilization,payments,Samir Rao,green,32,21,5,"stabilize legacy checkout, map risks, build team rituals; focus on payments; risk: test data gap.",ATLAS-4750
2018-Q3,2018-08-01,2018-08-28,Phase 0 Legacy Stabilization,observability,Kim Tan,green,77,15,6,"stabilize legacy checkout, map risks, build team rituals; focus on observability; risk: dependency drift.",ATLAS-1611
2018-Q3,2018-08-01,2018-08-28,Phase 0 Legacy Stabilization,data,Anika Sharma,green,84,22,3,"stabilize legacy checkout, map risks, build team rituals; focus on data; risk: customer readiness.",ATLAS-5803
2018-Q3,2018-08-01,2018-08-28,Phase 0 Legacy Stabilization,support,Yara Haddad,green,90,4,4,"stabilize legacy checkout, map risks, build team rituals; focus on support; risk: dependency drift.",ATLAS-3970
2018-Q3,2018-09-01,2018-09-28,Phase 0 Legacy Stabilization,platform,Anika Sharma,amber,94,9,5,"stabilize legacy checkout, map risks, build team rituals; focus on platform; risk: on-call load.",ATLAS-5430
