trace_id,jira_key,pr_id,incident_id,release_id,service,evidence_type,source_system,traceability_note
TRACE-00001,ATLAS-3854,PR-5597,,REL-2020.04,checkout-api,db_health,teams,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00002,ATLAS-1915,PR-9808,,REL-2022.12,search-recommendations,runbook,database,"Traceability note for search-recommendations: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00003,ATLAS-3197,PR-6390,,REL-2023.3.0,order-ledger,db_health,grafana,"Traceability note for order-ledger: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00004,ATLAS-4953,PR-8411,,REL-2023.1.11,loyalty-service,business_requirement,jira,"Traceability note for loyalty-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00005,ATLAS-2139,PR-7746,,REL-2022.2.15,auth-gateway,metric,jira,"Traceability note for auth-gateway: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00006,ATLAS-4884,PR-5121,,REL-2020.2.18,analytics-pipeline,db_health,github,"Traceability note for analytics-pipeline: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00007,ATLAS-1971,PR-9261,,REL-2024.4.2,order-ledger,support_case,grafana,"Traceability note for order-ledger: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00008,ATLAS-3285,PR-5923,,REL-2021.12,notification-service,decision,email,"Traceability note for notification-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00009,ATLAS-1397,PR-12023,PD-2194,REL-2022.4.10,loyalty-service,risk,grafana,"Traceability note for loyalty-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00010,ATLAS-1670,PR-6319,,REL-2023.08,checkout-api,decision,teams,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00011,ATLAS-3888,PR-10687,,REL-2022.1.5,auth-gateway,risk,github,"Traceability note for auth-gateway: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00012,ATLAS-2486,PR-7229,PD-2013,REL-2025.1.13,pricing-engine,runbook,github,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00013,ATLAS-3363,PR-8999,,REL-2024.4.18,payment-orchestrator,risk,confluence,"Traceability note for payment-orchestrator: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00014,ATLAS-1098,PR-6710,,REL-2025.4.13,pricing-engine,metric,database,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00015,ATLAS-3097,PR-7548,,REL-2022.1.0,pricing-engine,deployment,support,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00016,ATLAS-5720,PR-5571,,REL-2023.1.11,cart-service,support_case,database,"Traceability note for cart-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00017,ATLAS-4023,PR-7938,,REL-2018.06,checkout-api,metric,pagerduty,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00018,ATLAS-4855,PR-6808,PD-2026,REL-2020.1.7,search-recommendations,business_requirement,jira,"Traceability note for search-recommendations: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00019,ATLAS-4877,PR-8373,,REL-2025.3.8,tax-service,decision,confluence,"Traceability note for tax-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00020,ATLAS-1887,PR-9591,PD-2227,REL-2023.2.2,checkout-api,db_health,confluence,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00021,ATLAS-6134,PR-9951,PD-2575,REL-2022.03,auth-gateway,deployment,support,"Traceability note for auth-gateway: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00022,ATLAS-4321,PR-7117,,REL-2020.12,notification-service,metric,grafana,"Traceability note for notification-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00023,ATLAS-4233,PR-5978,,REL-2020.1.5,analytics-pipeline,metric,jira,"Traceability note for analytics-pipeline: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00024,ATLAS-5457,PR-5141,PD-2452,REL-2024.3.18,order-ledger,decision,jira,"Traceability note for order-ledger: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00025,ATLAS-3934,PR-7063,,REL-2020.1.18,pricing-engine,metric,teams,"Traceability note for pricing-engine: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00026,ATLAS-4475,PR-5124,,REL-2020.02,checkout-api,support_case,pagerduty,"Traceability note for checkout-api: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00027,ATLAS-3068,PR-6751,,REL-2018.3.5,search-recommendations,metric,support,"Traceability note for search-recommendations: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00028,ATLAS-1091,PR-7123,,REL-2024.3.6,analytics-pipeline,metric,grafana,"Traceability note for analytics-pipeline: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00029,ATLAS-3049,PR-5697,PD-2759,REL-2019.09,tax-service,business_requirement,jira,"Traceability note for tax-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00030,ATLAS-5628,PR-6650,,REL-2023.2.12,loyalty-service,db_health,teams,"Traceability note for loyalty-service: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
TRACE-00031,ATLAS-2369,PR-8468,,REL-2025.3.8,analytics-pipeline,risk,confluence,"Traceability note for analytics-pipeline: links source evidence across tickets, PRs, incidents, metrics, and KT artifacts so Ask AI can cite the right context."
