date,cluster,primary_service,storage_gb,connections,slow_queries,replication_lag_ms,cache_hit_pct,index_bloat_pct,lock_waits,failed_backups,status,notes,linked_jira
2018-06-01,checkout-db-primary,checkout-api,112.17,615,4,56.83,96.34,7.51,1,7,green,replica healthy,ATLAS-2161
2018-06-01,orders-db-primary,loyalty-service,130.06,350,24,16.54,92.92,11.45,5,1,green,migration window planned,ATLAS-5740
2018-06-01,payments-ledger-primary,cart-service,146.49,166,38,26.81,92.29,13.5,7,7,green,vacuum completed,ATLAS-2191
2018-06-01,cart-redis-cluster,analytics-pipeline,38.59,760,31,17.31,98.11,0,5,6,green,backup verified,ATLAS-1346
2018-06-01,kafka-ordering-cluster,cart-service,138.54,411,19,58.19,92.96,9.75,11,2,green,replica healthy,ATLAS-1806
2018-06-01,warehouse-atlas,inventory-reservation,620.01,646,16,0,95.67,5.21,4,0,green,migration window planned,ATLAS-2560
2018-06-08,checkout-db-primary,auth-gateway,120.48,612,15,17.68,93.25,11.3,5,7,green,migration window planned,ATLAS-3799
2018-06-08,orders-db-primary,notification-service,141.59,613,16,14.38,98.89,0,10,6,green,backup verified,ATLAS-5824
2018-06-08,payments-ledger-primary,notification-service,120.96,311,27,6.9,93.06,11.63,8,4,green,vacuum completed,ATLAS-3453
2018-06-08,cart-redis-cluster,search-recommendations,47.07,346,5,0,90.98,18.3,9,0,green,replica healthy,ATLAS-2553
2018-06-08,kafka-ordering-cluster,auth-gateway,120.03,644,0,33.99,94.75,10.39,1,4,green,connection pool reviewed,ATLAS-3490
2018-06-08,warehouse-atlas,inventory-reservation,615.84,253,11,0,91.69,13.46,9,2,green,index maintenance due,ATLAS-1871
2018-06-15,checkout-db-primary,auth-gateway,147.38,580,19,60.53,95.76,2.96,11,0,green,index maintenance due,ATLAS-3034
2018-06-15,orders-db-primary,payment-orchestrator,148.53,417,23,46.73,92.06,15.25,10,4,green,index maintenance due,ATLAS-3505
2018-06-15,payments-ledger-primary,analytics-pipeline,111.1,590,1,33.15,93.89,12.36,14,5,green,replica healthy,ATLAS-4141
2018-06-15,cart-redis-cluster,analytics-pipeline,42.96,152,9,0,94.69,5.86,16,0,green,backup verified,ATLAS-5001
2018-06-15,kafka-ordering-cluster,tax-service,124.35,201,9,68.53,95.21,4.69,16,7,green,replica healthy,ATLAS-3528
2018-06-15,warehouse-atlas,tax-service,624.51,622,7,65.57,97.41,3.31,0,4,green,connection pool reviewed,ATLAS-1691
2018-06-22,checkout-db-primary,tax-service,117.66,317,4,0,95.42,7.41,2,5,green,migration window planned,ATLAS-5676
2018-06-22,orders-db-primary,pricing-engine,116.41,767,17,0,92.8,12.9,7,6,green,connection pool reviewed,ATLAS-4849
2018-06-22,payments-ledger-primary,order-ledger,148.62,622,0,22.32,94.1,11.95,11,2,green,connection pool reviewed,ATLAS-6164
2018-06-22,cart-redis-cluster,order-ledger,51.97,259,20,46.23,95.95,4.96,12,3,green,migration window planned,ATLAS-2947
2018-06-22,kafka-ordering-cluster,payment-orchestrator,110.83,127,22,44.79,94.51,4.81,8,1,green,connection pool reviewed,ATLAS-2598
2018-06-22,warehouse-atlas,loyalty-service,649.76,438,13,0,93.34,8.15,7,2,green,vacuum completed,ATLAS-1878
2018-06-29,checkout-db-primary,tax-service,134.81,248,9,78.03,95.25,9.18,4,6,green,backup verified,ATLAS-1333
2018-06-29,orders-db-primary,auth-gateway,121.43,132,30,50.8,92.35,14.87,4,5,green,connection pool reviewed,ATLAS-4429
2018-06-29,payments-ledger-primary,analytics-pipeline,117.28,255,18,61.09,90.48,18.88,11,5,green,replica healthy,ATLAS-2891
2018-06-29,cart-redis-cluster,search-recommendations,39.29,604,21,32.42,94.25,14.1,15,5,green,replica healthy,ATLAS-1925
2018-06-29,kafka-ordering-cluster,loyalty-service,126.22,265,39,18.3,90.95,15.48,14,6,green,migration window planned,ATLAS-3263
2018-06-29,warehouse-atlas,checkout-api,677.41,228,9,35.02,98.88,0,8,4,green,replica healthy,ATLAS-3874
2018-07-06,checkout-db-primary,order-ledger,134.69,780,20,28.22,93.74,13.81,2,7,green,index maintenance due,ATLAS-2614
2018-07-06,orders-db-primary,checkout-api,114.8,238,7,72.54,91.81,19.81,10,4,green,vacuum completed,ATLAS-4484
2018-07-06,payments-ledger-primary,inventory-reservation,131.36,222,10,46.89,94.78,8.07,12,7,green,migration window planned,ATLAS-1030
2018-07-06,cart-redis-cluster,notification-service,39.95,416,10,13.4,94.31,11.05,8,4,green,migration window planned,ATLAS-5295
2018-07-06,kafka-ordering-cluster,loyalty-service,147.88,618,19,8.58,96.97,1.23,1,6,green,migration window planned,ATLAS-4173
2018-07-06,warehouse-atlas,loyalty-service,705.26,111,24,36.9,93.2,13.5,8,7,green,backup verified,ATLAS-1260
2018-07-13,checkout-db-primary,pricing-engine,145.7,638,14,45.21,97.88,0.11,10,2,green,replica healthy,ATLAS-2838
2018-07-13,orders-db-primary,auth-gateway,118.81,697,20,7.34,98.81,0.49,4,2,green,replica healthy,ATLAS-3024
2018-07-13,payments-ledger-primary,notification-service,129.2,591,5,18.36,98.62,0,1,3,green,replica healthy,ATLAS-2888
2018-07-13,cart-redis-cluster,order-ledger,48.74,294,23,0,95.89,4.75,13,0,green,vacuum completed,ATLAS-1876
2018-07-13,kafka-ordering-cluster,order-ledger,141.79,316,13,62.47,97.37,3.52,0,5,green,migration window planned,ATLAS-2763
2018-07-13,warehouse-atlas,loyalty-service,597.33,285,15,26.45,91.51,13.85,14,4,green,migration window planned,ATLAS-5498
2018-07-20,checkout-db-primary,search-recommendations,126.96,156,17,46.55,95.95,6.96,0,1,green,connection pool reviewed,ATLAS-5669
