event_id,event_type,repo,branch,pr_id,commit_sha,release_id,title,author,created_at,merged_at,status,files_changed,additions,deletions,linked_issues,linked_incidents,services,risk_notes,review_outcome
GH-00001,commit,atlas-observability,hotfix-tax-service-2018,,0000001bdb93,,tax-service: add source-grounded validation for rollout,Samir Rao,2018-06-04,,released,33,43,521,ATLAS-2530,PD-2794,tax-service,database migration risk,release captain approved
GH-00002,commit,atlas-checkout,hotfix-checkout-api-2018,PR-5002,0000002962ea,,checkout-api: reduce latency and improve retry behavior,Mateo Garcia,2018-06-01,,merged,3,654,174,ATLAS-6038;ATLAS-5299;ATLAS-4979,,checkout-api,needs QA evidence,changes requested
GH-00003,branch,atlas-infra,hotfix-tax-service-2018,,0000003d7ae3,,tax-service: add source-grounded validation for rollout,Samir Rao,2018-06-03,,released,9,1291,666,ATLAS-6103;ATLAS-2515;ATLAS-3490,,tax-service,watch p95 latency,auto merged
GH-00004,commit,atlas-payments,hotfix-tax-service-2018,,0000004a909e,,"tax-service: update runbook, dashboards, and alert thresholds",Owen Brooks,2018-06-02,,merged,40,180,882,ATLAS-4519;ATLAS-2547,PD-2046,tax-service,database migration risk,auto merged
GH-00005,commit,atlas-payments,feature-payment-orchestrator-2018,PR-5005,0000005d3d53,,payment-orchestrator: fix incident follow-up and regression tests,Jon Bell,2018-06-03,,released,6,1375,610,ATLAS-3383;ATLAS-2552;ATLAS-3665,,payment-orchestrator,requires rollback plan,changes requested
GH-00006,pull_request,atlas-mobile,hotfix-checkout-api-2018,PR-5006,000000619506,,checkout-api: add source-grounded validation for rollout,Ben Carter,2018-06-03,2018-06-08,closed,39,20,176,ATLAS-1700;ATLAS-3308,PD-2540,checkout-api,needs QA evidence,changes requested
GH-00007,commit,atlas-payments,main-cart-service-2018,,0000007f1d06,,cart-service: migrate legacy path behind feature flag,Victor Silva,2018-06-04,,merged,14,869,132,ATLAS-5627;ATLAS-6161;ATLAS-5154,PD-2617,cart-service,low risk,release captain approved
GH-00008,pull_request,atlas-payments,release-loyalty-service-2018,PR-5008,00000086ed72,,loyalty-service: migrate legacy path behind feature flag,Aisha Khan,2018-06-04,2018-06-12,closed,16,228,595,ATLAS-4897;ATLAS-4029,,loyalty-service,low risk,release captain approved
GH-00009,pull_request,atlas-payments,main-analytics-pipeline-2018,PR-5009,0000009018e9,,analytics-pipeline: fix incident follow-up and regression tests,Grace Kim,2018-06-07,2018-06-08,open,24,1240,747,ATLAS-5577;ATLAS-4052;ATLAS-4252,,analytics-pipeline,requires rollback plan,approved
GH-00010,pull_request,atlas-mobile,feature-analytics-pipeline-2018,PR-5010,000000a7cb6e,,"analytics-pipeline: update runbook, dashboards, and alert thresholds",Harper Lee,2018-06-08,2018-06-13,open,28,1086,193,ATLAS-1656;ATLAS-4580;ATLAS-3347,,analytics-pipeline,needs QA evidence,changes requested
