issue_key,issue_type,epic,summary,status,priority,assignee,reporter,created,updated,sprint,due_date,story_points,service,component,phase,labels,linked_prs,linked_incidents,risk_or_blocker_notes,acceptance_criteria,business_impact
ATLAS-1001,Epic,ATLAS-1001,"Phase 0 Legacy Stabilization: stabilize legacy checkout, map risks, build team rituals",Done,High,Elena Petrova,Theo Martin,2018-06-07,2018-06-21,Sprint 001,2018-06-21,2,auth-gateway,platform,Phase 0 Legacy Stabilization,"0,auth-gateway,jira,platform,release",PR-5001,,Risk: auth-gateway can cause checkout drop if loyalty points accrual fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for auth-gateway; evidence links to PR-5001.",Improves onboarding because new engineers can trace decision context.
ATLAS-1002,Story,ATLAS-1001,Document runbook for analytics-pipeline,Done,Medium,Sara Novak,Jon Bell,2018-06-03,2018-08-11,Sprint 001,2018-06-24,3,analytics-pipeline,data,Phase 0 Legacy Stabilization,"0,analytics-pipeline,data,handoff,jira",PR-5002,PD-2002,"Action: add monitoring, rollback owner, and KT note for analytics-pipeline.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for analytics-pipeline; evidence links to PR-5002.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-1003,Task,ATLAS-1001,Reduce p95 latency in cart-service,Closed,Low,Iris Wang,Aisha Khan,2018-06-09,2018-07-07,Sprint 001,2018-06-23,2,cart-service,backend,Phase 0 Legacy Stabilization,"0,backend,cart-service,jira,risk",PR-5003,PD-2003,Risk: cart-service can cause checkout drop if idempotency fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for cart-service; evidence links to PR-5003.",Protects conversion during peak campaigns and regional launches.
ATLAS-1004,Task,ATLAS-1001,Resolve customer escalation linked to auth-gateway,Closed,High,Samir Rao,Priya Nair,2018-06-09,2018-07-22,Sprint 001,2018-07-09,3,auth-gateway,platform,Phase 0 Legacy Stabilization,"0,auth-gateway,jira,platform,release",,,"Action: add monitoring, rollback owner, and KT note for auth-gateway.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for auth-gateway; evidence links to ATLAS-1004.",Closes audit gap for migration readiness and operational handoff.
ATLAS-1005,Story,ATLAS-1001,Add tracing and dashboard coverage for auth-gateway,Done,Critical,Iris Wang,Jon Bell,2018-06-08,2018-08-15,Sprint 001,2018-07-08,3,auth-gateway,platform,Phase 0 Legacy Stabilization,"0,auth-gateway,jira,kt,platform",,PD-2005,Risk: auth-gateway can cause checkout drop if idempotency fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for auth-gateway; evidence links to ATLAS-1005.",Improves onboarding because new engineers can trace decision context.
ATLAS-1006,Story,ATLAS-1001,Implement analytics-pipeline contract for queue lag,Closed,Critical,Theo Martin,Nora Singh,2018-06-12,2018-07-12,Sprint 001,2018-08-11,8,analytics-pipeline,data,Phase 0 Legacy Stabilization,"0,analytics-pipeline,data,jira,metrics",PR-5006,,Decision: owner Theo Martin to validate queue lag with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for analytics-pipeline; evidence links to PR-5006.",Improves onboarding because new engineers can trace decision context.
ATLAS-1007,Story,ATLAS-1001,Document runbook for analytics-pipeline,Done,Low,Kim Tan,Fatima Noor,2018-06-07,2018-07-29,Sprint 001,2018-06-28,3,analytics-pipeline,data,Phase 0 Legacy Stabilization,"0,analytics-pipeline,data,jira,release",PR-5007,,"Action: add monitoring, rollback owner, and KT note for analytics-pipeline.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for analytics-pipeline; evidence links to PR-5007.",Protects conversion during peak campaigns and regional launches.
ATLAS-1008,Story,ATLAS-1001,Resolve customer escalation linked to loyalty-service,Done,High,Sara Novak,Yara Haddad,2018-06-12,2018-07-30,Sprint 001,2018-06-26,8,loyalty-service,loyalty,Phase 0 Legacy Stabilization,"0,handoff,jira,loyalty,loyalty-service",,,"Action: add monitoring, rollback owner, and KT note for loyalty-service.","Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for loyalty-service; evidence links to ATLAS-1008.",Improves onboarding because new engineers can trace decision context.
ATLAS-1009,Story,ATLAS-1001,Migrate auth-gateway dependency from legacy checkout,Done,Medium,Harper Lee,Mateo Garcia,2018-06-05,2018-06-15,Sprint 001,2018-07-05,1,auth-gateway,platform,Phase 0 Legacy Stabilization,"0,auth-gateway,jira,platform,risk",PR-5009,,Risk: auth-gateway can cause checkout drop if inventory reservation fails during peak traffic.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for auth-gateway; evidence links to PR-5009.",Reduces incident response time by clarifying ownership and rollback.
ATLAS-1010,Spike,ATLAS-1001,Migrate search-recommendations dependency from legacy checkout,Done,High,Aisha Khan,Mateo Garcia,2018-06-15,2018-07-10,Sprint 001,2018-07-06,3,search-recommendations,search,Phase 0 Legacy Stabilization,"0,jira,kt,search,search-recommendations",PR-5010,,Decision: owner Aisha Khan to validate feature flag rollout with source-backed QA evidence.,"Acceptance: logs, dashboard, tests, rollout flag, and runbook entry exist for search-recommendations; evidence links to PR-5010.",Reduces incident response time by clarifying ownership and rollback.
