date,channel,sessions,conversion_pct,p95_latency_ms,p99_latency_ms,error_rate_pct,support_tickets,payment_retries,notes,linked_jira
2018-06-01,web,16705,76.16,754,1530,0.184,31,8,normal,ATLAS-1663
2018-06-01,ios,9137,74.24,677,1423,0.071,25,31,campaign,ATLAS-3216
2018-06-01,android,8224,73.28,777,1575,0.707,4,6,payment provider watch,ATLAS-6150
2018-06-01,mobile-web,8861,74.06,791,1569,0.85,56,18,release day,ATLAS-3456
2018-06-01,partner-api,10330,73.76,773,1507,0.352,46,10,normal,ATLAS-4552
2018-06-01,store-kiosk,9683,74.21,636,1311,0.328,35,27,normal,ATLAS-4904
2018-06-02,web,15072,74.42,657,1208,0.552,40,25,campaign,ATLAS-1705
2018-06-02,ios,9245,75.06,731,1497,0.267,63,17,normal,ATLAS-1449
2018-06-02,android,9481,75.96,798,1521,0.67,5,25,release day,ATLAS-1952
2018-06-02,mobile-web,8301,75.08,754,1553,0.475,22,19,campaign,ATLAS-3666
2018-06-02,partner-api,9000,75.2,619,1275,0.805,62,4,campaign,ATLAS-2191
2018-06-02,store-kiosk,8135,74.74,733,1453,0.447,10,13,incident watch,ATLAS-4037
2018-06-03,web,17596,75.26,704,1327,0.781,46,11,payment provider watch,ATLAS-5462
2018-06-03,ios,8744,74.1,667,1261,0.466,13,27,normal,ATLAS-5878
2018-06-03,android,8256,73.21,777,1559,0.238,19,14,payment provider watch,ATLAS-2191
2018-06-03,mobile-web,10108,74.88,784,1532,0.652,45,14,payment provider watch,ATLAS-4259
2018-06-03,partner-api,9937,76.4,701,1475,0.046,67,32,release day,ATLAS-5429
2018-06-03,store-kiosk,8410,74.83,691,1457,0.483,14,20,incident watch,ATLAS-2018
2018-06-04,web,17567,73.16,717,1352,0.232,46,4,incident watch,ATLAS-3571
2018-06-04,ios,9641,75.96,655,1316,0.346,17,20,mobile regression,ATLAS-4914
2018-06-04,android,8698,76.28,733,1374,0.84,32,22,release day,ATLAS-1999
2018-06-04,mobile-web,8412,76.65,663,1331,0.178,62,31,incident watch,ATLAS-1679
2018-06-04,partner-api,9020,76.57,670,1409,0.078,2,7,release day,ATLAS-4212
2018-06-04,store-kiosk,9268,74.3,771,1440,0.357,37,32,release day,ATLAS-2288
2018-06-05,web,17462,73.0,760,1538,0.01,62,13,campaign,ATLAS-3492
2018-06-05,ios,9267,74.47,732,1514,0.694,72,7,campaign,ATLAS-4409
2018-06-05,android,8735,75.31,637,1328,0.47,9,13,normal,ATLAS-1746
2018-06-05,mobile-web,9058,73.53,675,1307,0.446,20,22,release day,ATLAS-2376
2018-06-05,partner-api,9653,75.51,655,1367,0.443,30,0,incident watch,ATLAS-1309
2018-06-05,store-kiosk,9747,76.82,732,1492,0.561,44,10,incident watch,ATLAS-5688
2018-06-06,web,15213,73.5,619,1227,0.434,28,22,release day,ATLAS-3435
2018-06-06,ios,9910,75.66,650,1279,0.425,21,13,payment provider watch,ATLAS-3268
2018-06-06,android,8131,73.98,619,1214,0.3,58,14,normal,ATLAS-6137
2018-06-06,mobile-web,9431,76.6,669,1359,0.595,62,3,incident watch,ATLAS-5171
2018-06-06,partner-api,8656,73.89,615,1317,0.224,13,23,incident watch,ATLAS-4912
2018-06-06,store-kiosk,8750,74.49,616,1301,0.627,17,15,campaign,ATLAS-2119
2018-06-07,web,14618,75.72,684,1333,0.657,41,6,payment provider watch,ATLAS-1300
2018-06-07,ios,8859,75.78,675,1394,0.392,9,14,campaign,ATLAS-3549
2018-06-07,android,9887,73.45,635,1311,0.596,69,24,mobile regression,ATLAS-3020
2018-06-07,mobile-web,10341,75.06,794,1536,0.39,3,22,campaign,ATLAS-4372
2018-06-07,partner-api,8807,75.34,704,1371,0.245,12,2,normal,ATLAS-1592
2018-06-07,store-kiosk,9398,76.89,703,1457,0.643,29,18,campaign,ATLAS-3746
2018-06-08,web,16399,75.92,689,1287,0.276,8,17,normal,ATLAS-4536
2018-06-08,ios,9108,76.1,707,1441,0.825,10,3,incident watch,ATLAS-3900
2018-06-08,android,9797,74.07,729,1518,0.368,21,10,normal,ATLAS-5324
2018-06-08,mobile-web,10102,74.85,778,1571,0.434,69,17,release day,ATLAS-1947
2018-06-08,partner-api,10045,76.53,707,1483,0.265,49,6,mobile regression,ATLAS-1689
2018-06-08,store-kiosk,8488,73.04,752,1519,0.587,72,22,release day,ATLAS-2209
2018-06-09,web,15563,73.22,736,1447,0.451,17,8,release day,ATLAS-5694
2018-06-09,ios,9031,75.46,736,1523,0.756,21,14,campaign,ATLAS-4441
2018-06-09,android,8289,76.37,667,1325,0.506,3,7,mobile regression,ATLAS-2486
2018-06-09,mobile-web,10018,74.4,754,1413,0.024,63,21,normal,ATLAS-3430
2018-06-09,partner-api,8171,76.3,755,1568,0.374,12,4,release day,ATLAS-4069
2018-06-09,store-kiosk,10311,73.18,773,1464,0.408,18,0,incident watch,ATLAS-1949
2018-06-10,web,17574,75.45,601,1141,0.462,71,17,payment provider watch,ATLAS-3192
2018-06-10,ios,9569,75.38,661,1352,0.816,20,26,normal,ATLAS-1955
2018-06-10,android,9178,75.24,643,1207,0.451,70,28,incident watch,ATLAS-2927
2018-06-10,mobile-web,8711,76.18,661,1397,0.409,19,18,release day,ATLAS-1809
2018-06-10,partner-api,8582,74.46,659,1302,0.988,38,12,normal,ATLAS-3091
2018-06-10,store-kiosk,8960,72.94,791,1579,0.367,64,24,release day,ATLAS-4436
2018-06-11,web,16274,76.57,658,1250,0.406,65,26,mobile regression,ATLAS-5924
2018-06-11,ios,8313,75.34,628,1209,0.623,19,14,incident watch,ATLAS-4605
2018-06-11,android,9400,73.42,658,1208,0.356,20,8,payment provider watch,ATLAS-1789
2018-06-11,mobile-web,8665,74.13,605,1245,0.669,42,5,campaign,ATLAS-1239
2018-06-11,partner-api,8124,75.92,760,1426,0.482,53,6,incident watch,ATLAS-5676
2018-06-11,store-kiosk,8295,73.18,713,1461,0.242,11,14,release day,ATLAS-4523
2018-06-12,web,16711,72.95,782,1438,0.473,6,28,payment provider watch,ATLAS-1971
2018-06-12,ios,9459,76.54,652,1305,0.733,58,16,mobile regression,ATLAS-2429
2018-06-12,android,8409,76.05,727,1397,0.242,41,2,release day,ATLAS-3178
2018-06-12,mobile-web,9620,73.09,695,1396,0.497,22,26,incident watch,ATLAS-4318
2018-06-12,partner-api,9010,73.57,721,1448,0.498,53,1,incident watch,ATLAS-2585
2018-06-12,store-kiosk,9610,73.87,776,1578,0.155,29,31,release day,ATLAS-2386
2018-06-13,web,16014,75.74,675,1352,0.479,48,29,normal,ATLAS-5705
2018-06-13,ios,10249,73.8,694,1404,0.397,15,22,release day,ATLAS-4864
2018-06-13,android,9840,73.45,797,1477,0.371,60,19,normal,ATLAS-2124
2018-06-13,mobile-web,9704,73.79,668,1317,0.358,74,3,normal,ATLAS-3842
2018-06-13,partner-api,8857,73.92,734,1532,0.391,67,4,mobile regression,ATLAS-2367
2018-06-13,store-kiosk,8704,74.23,706,1380,0.706,62,18,payment provider watch,ATLAS-3217
2018-06-14,web,14040,73.4,601,1142,0.061,42,6,payment provider watch,ATLAS-2522
2018-06-14,ios,8396,76.77,733,1426,0.552,47,2,payment provider watch,ATLAS-1768
2018-06-14,android,9790,73.06,746,1406,0.472,3,20,mobile regression,ATLAS-2666
2018-06-14,mobile-web,8649,76.05,670,1376,0.198,62,15,normal,ATLAS-1446
2018-06-14,partner-api,9204,74.39,776,1470,0.095,6,23,mobile regression,ATLAS-2640
2018-06-14,store-kiosk,10140,75.54,674,1284,0.369,59,10,normal,ATLAS-2736
2018-06-15,web,16728,74.2,630,1341,0.021,44,9,payment provider watch,ATLAS-2557
2018-06-15,ios,8232,74.81,642,1221,0.404,37,27,payment provider watch,ATLAS-1294
2018-06-15,android,9425,73.92,610,1282,0.395,52,3,release day,ATLAS-1485
2018-06-15,mobile-web,8565,76.44,661,1361,0.714,18,2,normal,ATLAS-1058
2018-06-15,partner-api,8122,74.93,618,1182,0.441,29,8,campaign,ATLAS-5976
2018-06-15,store-kiosk,10073,75.85,604,1107,0.216,2,1,campaign,ATLAS-4675
2018-06-16,web,16311,75.16,757,1571,0.503,66,16,mobile regression,ATLAS-5978
2018-06-16,ios,8691,73.41,680,1421,0.183,37,24,campaign,ATLAS-4148
2018-06-16,android,9402,76.49,791,1501,0.123,13,12,normal,ATLAS-3215
2018-06-16,mobile-web,9130,74.52,600,1178,0.033,6,8,release day,ATLAS-3466
2018-06-16,partner-api,10218,75.06,680,1341,0.844,45,16,campaign,ATLAS-1574
2018-06-16,store-kiosk,9646,75.24,713,1463,0.391,37,21,normal,ATLAS-2843
2018-06-17,web,14727,73.75,708,1485,0.833,58,24,mobile regression,ATLAS-1111
2018-06-17,ios,8503,73.15,611,1154,0.5,38,19,mobile regression,ATLAS-2408
2018-06-17,android,8583,74.81,612,1318,0.355,20,25,campaign,ATLAS-2860
2018-06-17,mobile-web,9825,73.16,654,1374,0.63,39,25,normal,ATLAS-4209
2018-06-17,partner-api,9117,76.87,645,1205,0.775,52,19,mobile regression,ATLAS-2947
2018-06-17,store-kiosk,9459,75.97,659,1388,0.485,4,7,incident watch,ATLAS-5707
2018-06-18,web,14676,75.89,718,1485,0.126,2,16,release day,ATLAS-3148
2018-06-18,ios,8494,74.88,615,1203,0.554,14,28,mobile regression,ATLAS-5756
2018-06-18,android,9280,76.6,736,1428,0.408,60,0,incident watch,ATLAS-3305
2018-06-18,mobile-web,9608,73.11,792,1590,0.294,18,6,release day,ATLAS-2932
2018-06-18,partner-api,9671,76.07,651,1310,0.029,19,1,campaign,ATLAS-5633
2018-06-18,store-kiosk,9242,75.75,758,1543,0.321,15,4,release day,ATLAS-3820
2018-06-19,web,14106,76.1,685,1260,0.224,40,20,normal,ATLAS-3507
2018-06-19,ios,9273,76.8,760,1570,0.064,32,5,campaign,ATLAS-2132
2018-06-19,android,9956,73.66,652,1330,0.537,36,9,campaign,ATLAS-3225
2018-06-19,mobile-web,10033,74.39,638,1303,0.821,46,2,mobile regression,ATLAS-3457
2018-06-19,partner-api,8245,76.07,691,1457,0.146,0,21,campaign,ATLAS-5873
2018-06-19,store-kiosk,10178,73.41,787,1616,0.501,24,1,campaign,ATLAS-3590
2018-06-20,web,14351,72.96,744,1360,0.86,47,5,campaign,ATLAS-2984
2018-06-20,ios,9119,73.55,655,1271,0.228,17,6,normal,ATLAS-3894
2018-06-20,android,8751,76.8,707,1298,0.478,35,19,normal,ATLAS-3069
2018-06-20,mobile-web,9473,73.0,767,1482,0.416,19,30,incident watch,ATLAS-4888
2018-06-20,partner-api,8267,73.75,743,1411,0.607,52,28,normal,ATLAS-1931
2018-06-20,store-kiosk,8980,75.83,661,1304,0.303,43,30,mobile regression,ATLAS-5157
2018-06-21,web,13851,75.27,776,1488,0.477,56,32,mobile regression,ATLAS-5722
2018-06-21,ios,8562,73.84,685,1321,0.568,63,10,release day,ATLAS-3220
2018-06-21,android,10127,73.26,680,1288,0.612,39,8,payment provider watch,ATLAS-2732
2018-06-21,mobile-web,8638,76.62,741,1435,0.502,19,9,incident watch,ATLAS-5909
