deployment_id,deployed_at,service,environment,repo,linked_pr,release_id,feature_flag,traffic_percent,status,release_captain,guardrail,linked_jira,notes
DEP-00001,2018-06-03,checkout-api,canary,atlas-payments,PR-9014,REL-2019.01,flag_checkout_api_rollback_guard,1,success,Samir Rao,database lag guard,ATLAS-1312,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00002,2018-06-03,loyalty-service,stage,atlas-checkout,PR-6254,REL-2022.4.3,flag_loyalty_service_regional_launch,50,rolled back,Ben Carter,database lag guard,ATLAS-3566,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00003,2018-06-03,pricing-engine,stage,atlas-orders,PR-6784,REL-2020.08,flag_pricing_engine_dual_run,0,rolled back,Aisha Khan,manual approval,ATLAS-2748,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for pricing-engine."
DEP-00004,2018-06-04,notification-service,stage,atlas-checkout,PR-8653,REL-2021.02,flag_notification_service_rollback_guard,75,monitoring,Luca Moretti,error budget guard,ATLAS-3999,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00005,2018-06-05,analytics-pipeline,canary,atlas-infra,PR-10030,REL-2020.4.8,flag_analytics_pipeline_new_write_path,75,rolled back,Samir Rao,support volume guard,ATLAS-3931,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for analytics-pipeline."
DEP-00006,2018-06-09,payment-orchestrator,stage,atlas-web,PR-8087,REL-2019.2.17,flag_payment_orchestrator_dual_run,100,rolled back,Grace Kim,error budget guard,ATLAS-1631,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00007,2018-06-09,inventory-reservation,stage,atlas-orders,PR-5632,REL-2023.1.6,flag_inventory_reservation_payment_retry,1,success,Jon Bell,database lag guard,ATLAS-4226,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00008,2018-06-09,tax-service,canary,atlas-infra,PR-5478,REL-2021.08,flag_tax_service_new_write_path,100,monitoring,Elena Petrova,manual approval,ATLAS-4136,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00009,2018-06-10,payment-orchestrator,stage,atlas-mobile,PR-9851,REL-2018.3.14,flag_payment_orchestrator_payment_retry,75,rolled back,Theo Martin,manual approval,ATLAS-3194,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00010,2018-06-13,notification-service,stage,atlas-infra,PR-8118,REL-2019.3.0,flag_notification_service_dual_run,100,success,Noah Evans,error budget guard,ATLAS-3877,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00011,2018-06-13,notification-service,stage,atlas-mobile,PR-7508,REL-2022.3.10,flag_notification_service_payment_retry,25,success,Yara Haddad,error budget guard,ATLAS-6163,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00012,2018-06-14,order-ledger,prod,atlas-infra,PR-7198,REL-2018.4.5,flag_order_ledger_mobile_session,25,success,Fatima Noor,support volume guard,ATLAS-2251,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00013,2018-06-15,tax-service,prod,atlas-observability,PR-10897,REL-2020.1.14,flag_tax_service_dual_run,5,paused,Elena Petrova,support volume guard,ATLAS-3949,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00014,2018-06-18,analytics-pipeline,canary,atlas-web,PR-10046,REL-2023.2.4,flag_analytics_pipeline_mobile_session,25,rolled back,Ravi Patel,error budget guard,ATLAS-1542,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for analytics-pipeline."
DEP-00015,2018-06-18,inventory-reservation,prod,atlas-observability,PR-9169,REL-2025.4.3,flag_inventory_reservation_dual_run,1,rolled back,Luca Moretti,support volume guard,ATLAS-5577,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for inventory-reservation."
DEP-00016,2018-06-19,notification-service,prod,atlas-infra,PR-7428,REL-2025.11,flag_notification_service_rollback_guard,75,monitoring,Theo Martin,latency guard,ATLAS-1387,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for notification-service."
DEP-00017,2018-06-22,payment-orchestrator,canary,atlas-web,PR-5130,REL-2024.2.10,flag_payment_orchestrator_payment_retry,25,monitoring,Anika Sharma,manual approval,ATLAS-3943,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for payment-orchestrator."
DEP-00018,2018-06-22,loyalty-service,canary,atlas-web,PR-9938,REL-2019.3.0,flag_loyalty_service_regional_launch,0,paused,Maya Chen,latency guard,ATLAS-4954,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for loyalty-service."
DEP-00019,2018-06-24,checkout-api,stage,atlas-observability,PR-12171,REL-2025.11,flag_checkout_api_dual_run,75,rolled back,Anika Sharma,database lag guard,ATLAS-3880,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
DEP-00020,2018-06-23,analytics-pipeline,prod,atlas-mobile,PR-6858,REL-2025.1.8,flag_analytics_pipeline_rollback_guard,5,paused,Jon Bell,error budget guard,ATLAS-4155,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for analytics-pipeline."
DEP-00021,2018-06-25,order-ledger,canary,atlas-data,PR-11432,REL-2024.12,flag_order_ledger_payment_retry,75,paused,Iris Wang,support volume guard,ATLAS-2653,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for order-ledger."
DEP-00022,2018-06-28,tax-service,prod,atlas-observability,PR-6946,REL-2024.4.10,flag_tax_service_payment_retry,25,paused,Elena Petrova,database lag guard,ATLAS-4533,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for tax-service."
DEP-00023,2018-06-29,checkout-api,canary,atlas-checkout,PR-9768,REL-2022.3.12,flag_checkout_api_mobile_session,5,rolled back,Maya Chen,error budget guard,ATLAS-3329,"Deployment note: verify feature flag, Grafana SLO, PagerDuty status, database health, and support handoff for checkout-api."
