record_id,date,record_type,severity,service,owner,status,linked_jira,linked_pr,linked_incident,summary,evidence
DRA-00001,2018-06-01,blocker,medium,analytics-pipeline,Mateo Garcia,open,ATLAS-4372,PR-12426,,Blocker for analytics-pipeline: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00002,2018-06-02,assumption,,analytics-pipeline,Iris Wang,accepted,ATLAS-4570,PR-12299,,Assumption for analytics-pipeline: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00003,2018-06-04,assumption,,tax-service,Kim Tan,watching,ATLAS-2243,PR-9436,PD-2853,Assumption for tax-service: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00004,2018-06-06,decision,,payment-orchestrator,Mateo Garcia,open,ATLAS-4910,PR-9254,PD-2370,Decision for payment-orchestrator: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00005,2018-06-08,assumption,,payment-orchestrator,Nora Singh,mitigated,ATLAS-2120,PR-5103,PD-2331,Assumption for payment-orchestrator: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00006,2018-06-10,open_question,,notification-service,Theo Martin,closed,ATLAS-5952,PR-6580,,Open_Question for notification-service: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00007,2018-06-11,assumption,,inventory-reservation,Theo Martin,mitigated,ATLAS-2194,PR-12359,,Assumption for inventory-reservation: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00008,2018-06-13,blocker,low,search-recommendations,Iris Wang,watching,ATLAS-4991,PR-5761,,Blocker for search-recommendations: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00009,2018-06-15,blocker,medium,search-recommendations,Grace Kim,watching,ATLAS-4318,PR-6177,PD-2754,Blocker for search-recommendations: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00010,2018-06-17,open_question,,search-recommendations,Kim Tan,open,ATLAS-4321,PR-7235,,Open_Question for search-recommendations: QA evidence is missing.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00011,2018-06-19,decision,,cart-service,Fatima Noor,mitigated,ATLAS-4472,PR-5125,,Decision for cart-service: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00012,2018-06-20,assumption,,search-recommendations,Kim Tan,mitigated,ATLAS-1515,PR-9815,PD-2439,Assumption for search-recommendations: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00013,2018-06-22,assumption,,analytics-pipeline,Nora Singh,mitigated,ATLAS-5723,PR-7912,,Assumption for analytics-pipeline: database migration needs rehearsal.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00014,2018-06-24,assumption,,tax-service,Fatima Noor,closed,ATLAS-5387,PR-12128,,Assumption for tax-service: database migration needs rehearsal.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00015,2018-06-26,blocker,low,analytics-pipeline,Aisha Khan,accepted,ATLAS-1748,PR-5617,,Blocker for analytics-pipeline: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00016,2018-06-28,blocker,high,cart-service,Jon Bell,open,ATLAS-1031,PR-9992,,Blocker for cart-service: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00017,2018-06-30,risk,high,pricing-engine,Iris Wang,accepted,ATLAS-5886,PR-12412,PD-2824,Risk for pricing-engine: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00018,2018-07-01,assumption,,auth-gateway,Jon Bell,open,ATLAS-4796,PR-7858,,Assumption for auth-gateway: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00019,2018-07-03,open_question,,cart-service,Maya Chen,open,ATLAS-2242,PR-8959,,Open_Question for cart-service: support escalation macro must be updated.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00020,2018-07-05,action,,tax-service,Harper Lee,watching,ATLAS-4220,PR-6842,,Action for tax-service: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00021,2018-07-07,risk,critical,auth-gateway,Dmitri Volkov,accepted,ATLAS-3730,PR-5080,,Risk for auth-gateway: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00022,2018-07-09,action,,tax-service,Owen Brooks,watching,ATLAS-2465,PR-8620,,Action for tax-service: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00023,2018-07-10,action,,order-ledger,Harper Lee,open,ATLAS-2132,PR-7144,,Action for order-ledger: QA evidence is missing.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00024,2018-07-12,risk,high,checkout-api,Yara Haddad,open,ATLAS-4523,PR-5264,,Risk for checkout-api: QA evidence is missing.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00025,2018-07-14,action,,pricing-engine,Mateo Garcia,watching,ATLAS-4158,PR-9647,PD-2133,Action for pricing-engine: QA evidence is missing.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00026,2018-07-16,risk,low,analytics-pipeline,Priya Nair,closed,ATLAS-6122,PR-7481,,Risk for analytics-pipeline: latency burn must stay below threshold.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00027,2018-07-18,decision,,inventory-reservation,Yara Haddad,accepted,ATLAS-1695,PR-11055,,Decision for inventory-reservation: feature flag remains required.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00028,2018-07-20,decision,,loyalty-service,Yara Haddad,open,ATLAS-1166,PR-5032,PD-2716,Decision for loyalty-service: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00029,2018-07-21,risk,high,loyalty-service,Maya Chen,closed,ATLAS-5318,PR-7667,PD-2893,Risk for loyalty-service: rollback owner must be assigned.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00030,2018-07-23,risk,low,loyalty-service,Fatima Noor,watching,ATLAS-4115,PR-5450,PD-2748,Risk for loyalty-service: database migration needs rehearsal.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00031,2018-07-25,risk,medium,inventory-reservation,Anika Sharma,accepted,ATLAS-5018,PR-9278,PD-2719,Risk for inventory-reservation: database migration needs rehearsal.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
DRA-00032,2018-07-27,assumption,,pricing-engine,Aisha Khan,accepted,ATLAS-3691,PR-7871,,Assumption for pricing-engine: QA evidence is missing.,"Evidence: Teams decision, Confluence runbook, Jira acceptance criteria, Grafana metric, and PagerDuty incident history."
