incident_id,started_at,resolved_at,duration_minutes,severity,service,incident_commander,on_call_engineer,status,root_cause,customer_impact,linked_jira,linked_pr,action_items
PD-2001,2018-06-03,2018-06-03,5,SEV4,analytics-pipeline,Kim Tan,Luca Moretti,resolved,feature flag misconfiguration,orders delayed,ATLAS-4803,PR-6885,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2002,2018-06-06,2018-06-06,5,SEV3,search-recommendations,Theo Martin,Elena Petrova,postmortem complete,schema migration lock,checkout errors increased,ATLAS-2712,PR-6924,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for search-recommendations."
PD-2003,2018-06-07,2018-06-07,5,SEV4,checkout-api,Aisha Khan,Owen Brooks,postmortem complete,inventory reservation deadlock,support ticket volume increased,ATLAS-4230,PR-5284,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for checkout-api."
PD-2004,2018-06-12,2018-06-12,18,SEV3,payment-orchestrator,Nora Singh,Anika Sharma,follow-up open,schema migration lock,latency spike,ATLAS-1701,PR-5156,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for payment-orchestrator."
PD-2005,2018-06-17,2018-06-17,205,SEV2,analytics-pipeline,Iris Wang,Iris Wang,follow-up open,schema migration lock,orders delayed,ATLAS-4662,PR-8107,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2006,2018-06-17,2018-06-17,6,SEV4,order-ledger,Harper Lee,Grace Kim,postmortem complete,schema migration lock,latency spike,ATLAS-1413,PR-11155,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
PD-2007,2018-06-21,2018-06-21,6,SEV3,checkout-api,Fatima Noor,Grace Kim,follow-up open,tax provider latency,checkout errors increased,ATLAS-1721,PR-6564,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for checkout-api."
PD-2008,2018-06-25,2018-06-25,5,SEV4,cart-service,Ben Carter,Luca Moretti,resolved,feature flag misconfiguration,payment retries increased,ATLAS-3866,PR-9018,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for cart-service."
PD-2009,2018-06-27,2018-06-27,5,SEV3,notification-service,Iris Wang,Kim Tan,follow-up open,bad deployment,orders delayed,ATLAS-4589,PR-8274,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for notification-service."
PD-2010,2018-07-04,2018-07-04,59,SEV3,checkout-api,Fatima Noor,Mateo Garcia,resolved,feature flag misconfiguration,latency spike,ATLAS-2408,PR-9583,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for checkout-api."
PD-2011,2018-07-07,2018-07-07,5,SEV4,inventory-reservation,Noah Evans,Elena Petrova,postmortem complete,database connection saturation,orders delayed,ATLAS-6156,PR-5077,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2012,2018-07-07,2018-07-07,5,SEV4,order-ledger,Noah Evans,Fatima Noor,follow-up open,schema migration lock,no customer impact detected,ATLAS-3938,PR-9238,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
PD-2013,2018-07-13,2018-07-13,5,SEV4,analytics-pipeline,Kim Tan,Mateo Garcia,follow-up open,payment provider timeout,checkout errors increased,ATLAS-5777,PR-7991,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for analytics-pipeline."
PD-2014,2018-07-16,2018-07-16,5,SEV3,inventory-reservation,Ravi Patel,Jon Bell,resolved,payment provider timeout,orders delayed,ATLAS-3145,PR-10384,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for inventory-reservation."
PD-2015,2018-07-20,2018-07-20,5,SEV4,order-ledger,Grace Kim,Elena Petrova,resolved,tax provider latency,checkout errors increased,ATLAS-6125,PR-10404,"Action items: add alert, update runbook, assign owner, verify rollback, write KT note for order-ledger."
